initiative,applied,received
HMRCTimeToPayscheme,0.287, 0.234
Accreditedfinanceagreements,0.096,0.018
CoronavirusJobRetentionScheme,0.809,0.291
Governmentfundedsmallbusinessgrantorloanschemes,0.060,0.021
Businessratesholiday,0.135,0.057
DeferringVATpayments,0.599,0.443
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.117,0.270 
