initiative,applied,received
DeferringVATpayments,0.474,0.397
CoronavirusJobRetentionScheme,0.401,0.154
Accreditedfinanceagreements,0.038,0.010
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.373,0.127
HMRCTimeToPayscheme,0.137,0.106
Governmentfundedsmallbusinessgrantorloanschemes,0.036,0.017
Businessratesholiday,0.082,0.031
