initiative,applied,received
HMRCTimeToPayscheme,0.205,0.147
Governmentfundedsmallbusinessgrantorloanschemes,0.218,0.144
CoronavirusJobRetentionScheme,0.757,0.280
Businessratesholiday,0.201,0.120
DeferringVATpayments,0.637,0.469
Accreditedfinanceagreements,0.123,0.017
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.139,0.206
