initiative,applied,received
Businessratesholiday,0.085,0.038
DeferringVATpayments,0.263,0.184
Accreditedfinanceagreements,0.028,0.000
CoronavirusJobRetentionScheme,0.405,0.098
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.484,0.228
HMRCTimeToPayscheme,0.070,0.057
Governmentfundedsmallbusinessgrantorloanschemes,0.022,0.000
