initiative,applied,received
CoronavirusJobRetentionScheme,0.686,0.286
Businessratesholiday,0.157,0.043
Governmentfundedsmallbusinessgrantorloanschemes,0.057,0.014
Accreditedfinanceagreements,0.100,0.043
DeferringVATpayments,0.571,0.371
HMRCTimeToPayscheme,0.214,0.157
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.214,0.243
