initiative,applied,received
Accreditedfinanceagreements,0.183,0.043
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.126,0.176
HMRCTimeToPayscheme,0.331,0.255
CoronavirusJobRetentionScheme,0.763,0.219
Governmentfundedsmallbusinessgrantorloanschemes,0.180,0.108
DeferringVATpayments,0.612,0.435
Businessratesholiday,0.572,0.450
