initiative,applied,received
CoronavirusJobRetentionScheme,0.635,0.199
Businessratesholiday,0.140,0.079
DeferringVATpayments,0.443,0.330
HMRCTimeToPayscheme,0.193,0.147
Governmentfundedsmallbusinessgrantorloanschemes,0.048,0.026
Accreditedfinanceagreements,0.086,0.013
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.260, 0.237
