initiative,applied,received
CoronavirusJobRetentionScheme,0.672,0.222
Businessratesholiday,0.274,0.191
DeferringVATpayments,0.564,0.427
HMRCTimeToPayscheme,0.223,0.168
Governmentfundedsmallbusinessgrantorloanschemes,0.112,0.070
Accreditedfinanceagreements,0.099,0.018
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.207,0.189
