initiative,applied,received
CoronavirusJobRetentionScheme,0.405,0.098
Businessratesholiday,0.085,0.038
DeferringVATpayments,0.263,0.184
HMRCTimeToPayscheme,0.070,0.057
Governmentfundedsmallbusinessgrantorloanschemes,0.022,0.000
Accreditedfinanceagreements,0.028,0.000
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.484,0.228
