initiative,applied,received
CoronavirusJobRetentionScheme,0.345,0.085
Businessratesholiday,0.134,0.092
DeferringVATpayments,0.162,0.155
HMRCTimeToPayscheme,0.063,0.042
Governmentfundedsmallbusinessgrantorloanschemes,0.106,0.070
Accreditedfinanceagreements,0.028,0.000
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.556,0.141
