initiative,applied,received
CoronavirusJobRetentionScheme,0.763,0.219
Businessratesholiday,0.572,0.450
DeferringVATpayments,0.612,0.435
HMRCTimeToPayscheme,0.331,0.255
Governmentfundedsmallbusinessgrantorloanschemes,0.180,0.108
Accreditedfinanceagreements,0.183,0.043
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.126,0.176
