initiative,applied,received
CoronavirusJobRetentionScheme,0.401,0.154
Businessratesholiday,0.082,0.031
DeferringVATpayments,0.474,0.397
HMRCTimeToPayscheme,0.137,0.106
Governmentfundedsmallbusinessgrantorloanschemes,0.036,0.017
Accreditedfinanceagreements,0.038,0.010
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.373,0.127
