initiative,applied,received
CoronavirusJobRetentionScheme,0.809,0.291
Businessratesholiday,0.135,0.057
DeferringVATpayments,0.599,0.443
HMRCTimeToPayscheme,0.287, 0.234
Governmentfundedsmallbusinessgrantorloanschemes,0.060,0.021
Accreditedfinanceagreements,0.096,0.018
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.117,0.270 
