initiative,applied,received
CoronavirusJobRetentionScheme,0.622,0.216
Businessratesholiday,0.126,0.078
DeferringVATpayments,0.662,0.518
HMRCTimeToPayscheme,0.186,0.146
Governmentfundedsmallbusinessgrantorloanschemes,0.049,0.022
Accreditedfinanceagreements,0.081,0.023
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.207,0.176
