initiative,applied,received
CoronavirusJobRetentionScheme,0.726,0.239
Businessratesholiday,0.446,0.334
DeferringVATpayments,0.601,0.469
HMRCTimeToPayscheme,0.250,0.183
Governmentfundedsmallbusinessgrantorloanschemes,0.133,0.091
Accreditedfinanceagreements,0.090,0.015
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.155,0.160
