initiative,applied,received
CoronavirusJobRetentionScheme,0.766,0.287
Businessratesholiday,0.241,0.145
DeferringVATpayments,0.553,0.440
HMRCTimeToPayscheme,0.248,0.188
Governmentfundedsmallbusinessgrantorloanschemes,0.064,0.025
Accreditedfinanceagreements,0.092,0.025
Wehavenotappliedfororreceivedanyoftheseinitiatives,0.167,0.184
